%%  Source:
%%  
%%  Owner of database: Volker Lohweg (University of Applied Sciences, 
%%  Ostwestfalen-Lippe, volker.lohweg '@' hs-owl.de) 
%%  Donor of database: Helene D̦rksen (University of Applied Sciences, 
%%  Ostwestfalen-Lippe, helene.doerksen '@' hs-owl.de) 
%%  Date received: August, 2012 
%%  
%%  Data Set Information:
%%  
%%  Data were extracted from images that were taken from genuine and forged 
%%  banknote-like specimens. For digitization, an industrial camera usually 
%%  used for print inspection was used. The final images have 400x 400 pixels. 
%%  Due to the object lens and distance to the investigated object gray-scale 
%%  pictures with a resolution of about 660 dpi were gained. Wavelet Transform 
%%  tool were used to extract features from images.
%%  
%%  
%%  Attribute Information:
%%  
%%  1. variance of Wavelet Transformed image (continuous) 
%%  2. skewness of Wavelet Transformed image (continuous) 
%%  3. curtosis of Wavelet Transformed image (continuous) 
%%  4. entropy of image (continuous) 
%%  5. class (integer) 

@relation banknote-authentication

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute Class {1,2}

@data
-0.65767,-2.8018,3.7115,0.99739,2
-1.5449,-10.1498,9.6152,-1.2332,2
-2.8957,-12.0205,11.9149,-2.7552,2
-0.81479,-5.7381,4.3919,0.3211,2
0.50225,0.65388,-1.1793,0.39998,2
0.74521,3.6357,-4.4044,-4.1414,2
-2.9146,4.0537,-0.45699,-4.0327,2
-1.3907,-1.3781,2.3055,-0.021566,2
-1.786,-8.1157,7.0858,-1.2112,2
-1.7322,-9.2828,7.719,-1.7168,2
0.55298,-3.4619,1.7048,1.1008,2
2.031,1.852,-3.0121,0.003003,2
1.2279,4.0309,-4.6435,-3.9125,2
-4.2249,6.2699,0.15822,-5.5457,2
-2.5346,-0.77392,3.3602,0.00171,2
-1.749,-6.332,6.0987,0.14266,2
-0.539,-5.167,3.4399,0.052141,2
1.5631,0.89599,-1.9702,0.65472,2
2.3917,4.5565,-4.9888,-2.8987,2
0.89512,4.7738,-4.8431,-5.5909,2
-5.4808,8.1819,0.27818,-5.0323,2
-2.8833,1.7713,0.68946,-0.4638,2
-1.4174,-2.2535,1.518,0.61981,2
0.4283,-0.94981,-1.0731,0.3211,2
1.5904,2.2121,-3.1183,-0.11725,2
1.7425,3.6833,-4.0129,-1.7207,2
-0.23356,3.2405,-3.0669,-2.7784,2
-3.6227,3.9958,-0.35845,-3.9047,2
-6.1536,7.9295,0.61663,-3.2646,2
-3.9172,2.6652,0.78886,-0.7819,2
-2.2214,-0.23798,0.56008,0.05602,2
-0.49241,0.89392,-1.6283,-0.56854,2
0.26517,2.4066,-2.8416,-0.59958,2
-0.10234,1.8189,-2.2169,-0.56725,2
-1.6176,1.0926,-0.35502,-0.59958,2
-1.8448,1.254,0.27218,-1.0728,2
-1.2786,-2.4087,4.5735,0.47627,2
-2.902,-7.6563,11.8318,-0.84268,2
-4.3773,-5.5167,10.939,-0.4082,2
-2.0529,3.8385,-0.79544,-1.2138,2
0.18868,0.70148,-0.51182,0.005589,2
-1.7279,-6.841,8.9494,0.68058,2
-3.3793,-13.7731,17.9274,-2.0323,2
-3.1273,-7.1121,11.3897,-0.083634,2
-2.121,-0.05588,1.949,1.353,2
-1.7697,3.4329,-1.2144,-2.3789,2
-0.001285,0.13863,-0.19651,0.008175,2
-1.682,-6.8121,7.1398,1.3323,2
-3.4917,-12.1736,14.3689,-0.61639,2
-3.1158,-8.6289,10.4403,0.97153,2
-2.0891,-0.48422,1.704,1.7435,2
-1.6936,2.7852,-2.1835,-1.9276,2
-1.2846,3.2715,-1.7671,-3.2608,2
-0.092194,0.39315,-0.32846,-0.13794,2
-1.0292,-6.3879,5.5255,0.79955,2
-2.2083,-9.1069,8.9991,-0.28406,2
-1.0744,-6.3113,5.355,0.80472,2
-0.51003,-0.23591,0.020273,0.76334,2
-0.36372,3.0439,-3.4816,-2.7836,2
-6.3979,6.4479,1.0836,-6.6176,2
-2.2501,3.3129,-0.88369,-2.8974,2
-1.1859,-1.2519,2.2635,0.77239,2
-1.8076,-8.8131,8.7086,-0.21682,2
-3.3863,-12.9889,13.0545,-2.7202,2
-1.4106,-7.108,5.6454,0.31335,2
